Time (s),x2000-vol,x500-vol,x250-vol,x100-vol,x50-vol,x0-vol
0.1,6.4942438711,16.1263904961,10.636507812,24.7847546693,65.985335585,9.003
1,53.1401030569,77.6893665229,9.5393388399,13.8451830104,21.0798763498,15.75
27,396.5303671609,69.4740099152,24.4831016558,20.10720463,25.2975369857,8.916
53,381.3434849126,259.9596952908,56.3524229321,47.6617660888,33.6411126094,15.02
80,418.0419716255,422.5109786674,93.4940881152,25.7313171576,45.6233519282,9.804
107,594.0238284068,848.9489997125,81.075550668,49.8850070557,28.5980332388,9.187
133,568.129385588,408.7886154093,173.9224948781,29.2893054269,23.5276651402,12.16
160,796.7320088346,645.2866535112,228.0757200026,41.2237719836,12.1622171883,10.5
186,559.5748690261,524.8473879136,138.7668350793,38.5739086969,19.4140146289,32.87
213,624.1378790873,656.5417956351,267.386086615,119.9309897708,46.6133198982,7.409
240,602.1725883544,619.0467115181,219.2797676858,168.2956329854,57.2614724797,7.21
266,940.362801803,749.0802344228,857.0255388385,49.8523535168,58.4038848983,7.638
293,1054.148555071,689.5333412567,346.6452459377,53.7187495084,107.5352379507,7.139
320,1065.0540428041,820.7811466863,516.6343155801,72.3663410099,35.4383347769,7.698
346,654.5433139379,729.1173127091,456.4351295648,165.6395618477,30.2373957228,35.65
373,1027.3240551917,984.3931603604,543.3918840144,206.4395878131,25.8518621742,9.74
400,899.6774904259,833.6949231227,610.3047430822,282.3926380137,48.3810111344,12.98
426,860.0049583453,930.5087538949,1006.2051037155,540.0068761127,99.3176048001,8.371
453,795.4608339884,811.1168487688,391.2391773556,443.9565311514,71.562910943,15.29
480,853.676908085,741.7255861967,580.7311075856,347.6157882559,47.313497311,26.5
506,954.2328615974,803.2015788419,651.4085031931,420.5906301409,42.5183883519,8.456
533,877.6904375048,1240.8339347807,846.1923649772,847.2987312275,137.3695290671,7.792
560,1087.3834194314,724.5517143579,714.2327832183,326.6591816421,91.4088405008,15.51
587,931.9212864933,1080.6074593603,706.8833264239,723.0990688171,162.7289844195,7.545
613,636.3207920222,1029.9762668362,854.3302146665,452.6976049278,293.5070839447,11.05
640,1096.5003016063,1164.3383586082,1049.9327671237,623.3023076817,264.3608765656,11.09
667,862.7130054547,793.944008809,635.7797127043,627.4307189068,101.1108079171,30.19
693,1152.8173779089,1087.5890329891,999.0060374324,1005.4417958088,317.0163644357,8.771
720,832.383402289,819.990473417,1140.4325925702,607.2687664271,366.7496379753,6.631
746,1117.3159658172,973.8333781894,1120.9574662178,660.8328656117,364.6647124295,12.05
773,1055.3795281788,1288.0312532603,1018.8456057615,1002.7009860727,189.4263391572,7.102
800,808.3514891434,1018.5843210264,682.4500827961,865.1883317957,350.4600818192,8.917
826,1051.2650086766,1253.722551086,1175.8279458132,705.8117594478,274.2542889015,9.454
853,1393.1440567403,1410.0983181782,1136.0696846924,742.9743551883,329.8456194327,33.78
880,984.7048656523,1371.2704913776,834.082941219,742.8369770107,198.6618646039,5.65
906,1035.5695421661,1151.7278396745,852.9661097984,712.1423434628,280.3328599893,8.334
933,702.8294719546,1103.9781386245,820.4233774801,1239.9439352036,365.3053391743,9.311
960,1163.0108890776,1102.8359185565,858.0707930568,805.9751469831,383.2114639514,7.506
986,956.0630953014,1047.0864740853,1203.9004903677,953.8071614603,318.7634629485,11.63
1013,1286.01931366,1238.0547717665,1125.3359210185,721.9038139079,671.567964221,12.64
1040,973.2098438076,1212.4035738898,1168.5107230412,885.0840841224,414.3859895204,22.43
1066,1242.4189686531,919.7574590951,1080.4575084953,904.2369089581,772.1819998741,8.924
1093,1234.728799908,1150.4517939512,1125.8670984222,998.2186360935,390.3990025617,12.71
1120,1115.1133455394,1479.2610823238,1350.0026666614,714.7782015737,807.3474502537,7.507
1146,1140.1305238363,874.2856590462,1181.2151814154,1329.0199741352,349.4121408049,4.477
1173,849.7500969477,1058.4559558357,1019.7658147488,865.2292758887,422.9977651353,7.357
1200,1556.3361596186,990.1613593329,915.8752265482,1148.3072380775,382.2968029851,16.71
1227,1031.2390505504,1056.4718847267,821.2307827924,1005.5445001197,495.1263603538,15.48
1253,1411.3172740761,1361.6379285146,1160.1301870582,888.0408827989,543.027654273,11.44
1280,1594.3635213005,1062.2463055475,889.3963943748,898.7429877658,697.1530153883,8.921
1307,1256.1126220905,1357.9977601377,1081.7737355205,972.4237888304,338.8718084298,7.125
1334,1161.0876505969,844.015540994,1365.1195197398,1115.4723798407,572.3698771812,10.29
1360,1150.6578546564,1404.9239946558,1162.2396060394,1222.8473265059,1094.0273435253,13.1
1387,1370.4610528425,1379.1730395173,1454.4118443306,1016.1819489896,330.1707415423,6.259
1414,1250.2173522842,1090.2554797718,1049.5607959029,843.1922345002,589.226373611,6.748
1441,1030.1731697404,1399.0547667156,1011.2357571848,1157.4574809037,527.7216864998,41.54
1467,1356.7918634818,1184.0641096282,1155.5515395872,887.4372131041,781.7701588164,12.54
1494,1365.6779629385,793.749755408,955.0571691186,1306.9123326216,482.3804170827,10.96
1521,1044.2542786842,1507.5617002561,1070.0114522139,1249.6260632949,503.3569533814,16.94
1527,1322.3612735323,1643.7321321965,989.6305177685,1190.3515967874,451.1849639764,13.67
1533,1755.6323471908,1405.8184986941,1426.8158963025,942.9883855172,399.9313949007,13.96
